Проскурівський	Proskurivsky	Proskurivsky
селяни	peasants	peasants
с. Холодівка	village of Kholodivka	village of Kholodivka
Балтський	Baltic	Baltic
с. Шура	village of Shura	village of Shura
с. Войтівці	village of Voytivtsi	village of Voytivtsi
Описи (інвентарі) фольварків сіл Княже та Кайтанівка з мапою володінь	Descriptions (inventories) of the farms of the villages of Knyazhe and Kaitanivka with a map of the estates	Descriptions (inventories) of the farms of the villages of Knyazhe and Kaitanivka with a map of the estates
селяни поміщічі	peasant landlords	peasant landlords
с. Захаристівка	village of Zakharystivka	village of Zakharystivka
с. Вапняки	village of Vapnyaki	village of Vapnyaki
Виправлення ревізьких казок с. Коритня. Ревізька казка (1795) жителів слободи Понори Тираспільського повіту	Correction of Reviz fairy tales of the village of Korytnia. Reviz fairy tale (1795) of the inhabitants of the Ponory settlement of Tiraspol district	Correction of Reviz fairy tales of the village of Korytnia. Reviz fairy tale (1795) of the inhabitants of the Ponory settlement of Tiraspol district
Населений пункт	Locality	Locality
Роки	Years	Years
с. Коритня, слоб. Понори	with. Korytnia, slob. Sinkholes	with. Korytnia, slob. Sinkholes
№	No.	No.
Повіт	County	County
Вінницький	Vinnytsia	Vinnytsia
Назва	Name	Name
ревізька казка	fairy tale	fairy tale
с. Копіївка	village of Kopiivka	village of Kopiivka
Подільська казенна палата, м. Кам'янець-Подільський Кам'янецького повіту Подільської губернії	Podilskyi Treasury Chamber, Kamianets-Podilskyi, Kamianets-Podilskyi District, Podilskyi Province	Podilskyi Treasury Chamber, Kamianets-Podilskyi, Kamianets-Podilskyi District, Podilskyi Province
с. Катрої	village of Katroi	village of Katroi
Балтський, Тираспільський	Baltsky, Tiraspolsky	Baltsky, Tiraspolsky
с. Гута	village of Guta	village of Guta
с. Вихилівка	village of Vykhylivka	village of Vykhylivka
с. Буйволівці	village of Buyvolivtsi	village of Buyvolivtsi
ДАХмО/226/81	DAKhMO/226/81	DAKhMO/226/81
с. Клебань	village of Kleban	village of Kleban
Княже, Кайтанівка	Prince, Kaitanivka	Prince, Kaitanivka
с. Аннопіль	village of Annopil	village of Annopil
Тип	Type	Type
Вишеньки, Радівка, Велика Острожка	Cherries, Radivka, Velyka Ostrozhka	Cherries, Radivka, Velyka Ostrozhka
с. Кінашів	village of Kinashiv	village of Kinashiv
Аркуші	Sheets	Sheets
с. Самгородок	village of Samhorodok	village of Samhorodok
Ямпільський	Yampilsky	Yampilsky
Архіви/опис	Archives/description	Archives/description
Брацлавський	Bratslavsky	Bratslavsky
с. Луки	village of Luky	village of Luky
