name_cyrillic,slug_latin,note,region,url
Белозорье,bilozirya,,cherkassy,https://myshtetl.org/vostok/bilozirya.html
Бурты,burty,,cherkassy,https://myshtetl.org/vostok/burty.html
Чигирин,chigirin,,cherkassy,https://myshtetl.org/vostok/chigirin.html
Драбов,drabov,,cherkassy,https://myshtetl.org/vostok/drabov.html
Гельмязов,gelmyazov,,cherkassy,https://myshtetl.org/vostok/gelmyazov.html
Ирклиев,irkliev,,cherkassy,https://myshtetl.org/vostok/irkliev.html
Ивангород,ivangorod,,cherkassy,https://myshtetl.org/vostok/ivangorod.html
Иваньки,ivanki,,cherkassy,https://myshtetl.org/vostok/ivanki.html
Мокрая Калигорка,kaligorka,,cherkassy,https://myshtetl.org/vostok/kaligorka.html
Каменка,kamenka_cher,,cherkassy,https://myshtetl.org/vostok/kamenka_cher.html
Канев,kanev,,cherkassy,https://myshtetl.org/vostok/kanev.html
Христиновка,khristinovka,,cherkassy,https://myshtetl.org/vostok/khristinovka.html
Худяки,khudyaky,,cherkassy,https://myshtetl.org/vostok/khudyaky.html
Княжа Криница,knyazha_krynytsia,,cherkassy,https://myshtetl.org/vostok/knyazha_krynytsia.html
Ладыжинка,ladyzhinka,,cherkassy,https://myshtetl.org/vostok/ladyzhinka.html
Лебедин,lebedyn_cherk,,cherkassy,https://myshtetl.org/vostok/lebedyn_cherk.html
Лукашевка,lukashevka,,cherkassy,https://myshtetl.org/vostok/lukashevka.html
Маньковка,mankovka,,cherkassy,https://myshtetl.org/vostok/mankovka.html
Матусов,matusov,,cherkassy,https://myshtetl.org/vostok/matusov.html
Медведевка,medvedovka,,cherkassy,https://myshtetl.org/vostok/medvedovka.html
Межирич,mezhirich_cherk,,cherkassy,https://myshtetl.org/vostok/mezhirich_cherk.html
Млиев,mliyiv,,cherkassy,https://myshtetl.org/vostok/mliyiv.html
Монастырище,monastyrishche,,cherkassy,https://myshtetl.org/vostok/monastyrishche.html
Мошны,moshny,,cherkassy,https://myshtetl.org/vostok/moshny.html
Орловец,orlovets,,cherkassy,https://myshtetl.org/vostok/orlovets.html
Рижановка,rizhanovka,,cherkassy,https://myshtetl.org/vostok/rizhanovka.html
Ротмистровка,rotmistrovka,,cherkassy,https://myshtetl.org/vostok/rotmistrovka.html
Русская Поляна,ruska_polyana,,cherkassy,https://myshtetl.org/vostok/ruska_polyana.html
Сарны,sarny,,cherkassy,https://myshtetl.org/vostok/sarny.html
Шендеровка,shenderovka,,cherkassy,https://myshtetl.org/vostok/shenderovka.html
Шпола,shpola,,cherkassy,https://myshtetl.org/vostok/shpola.html
Смела,smela,,cherkassy,https://myshtetl.org/vostok/smela.html
Стеблев,steblev,,cherkassy,https://myshtetl.org/vostok/steblev.html
Телепино,telepyne,,cherkassy,https://myshtetl.org/vostok/telepyne.html
Терлица,terlitsa,,cherkassy,https://myshtetl.org/vostok/terlitsa.html
Цибулев,tsybulev,,cherkassy,https://myshtetl.org/vostok/tsybulev.html
Умань - фотопрогулки,uman,,cherkassy,https://myshtetl.org/vostok/uman.html
Умань - история,uman2,,cherkassy,https://myshtetl.org/vostok/uman2.html
Веремиевка,veremievka,,cherkassy,https://myshtetl.org/vostok/veremievka.html
Вязовок,vyazivok,,cherkassy,https://myshtetl.org/vostok/vyazivok.html
Жаботин,zhabotyn,,cherkassy,https://myshtetl.org/vostok/zhabotyn.html
Золотоноша,zolotonosha,,cherkassy,https://myshtetl.org/vostok/zolotonosha.html
Борзна,borzna,,chernigov,https://myshtetl.org/vostok/borzna.html
Городня,gorodnya,,chernigov,https://myshtetl.org/vostok/gorodnya.html
Короп,korop,,chernigov,https://myshtetl.org/vostok/korop.html
Мена,mena,,chernigov,https://myshtetl.org/vostok/mena.html
Новгород-Северский,novgorod,,chernigov,https://myshtetl.org/vostok/novgorod.html
Новые Млыны,noviye_mlyny,,chernigov,https://myshtetl.org/vostok/noviye_mlyny.html
Сновск,snovsk,,chernigov,https://myshtetl.org/vostok/snovsk.html
Сосница,sosnitsa,,chernigov,https://myshtetl.org/vostok/sosnitsa.html
Babyn,babyn,,chernovtsy,https://myshtetl.org/chernovickaja/babyn.html
Balamutivka,balamutivka,,chernovtsy,https://myshtetl.org/chernovickaja/balamutivka.html
Банилов,banilov,,chernovtsy,https://myshtetl.org/chernovickaja/banilov.html
Banyliv,banilov_en,,chernovtsy,https://myshtetl.org/chernovickaja/banilov_en.html
Banyliv Pidhirnyy,banyliv_pidhirnyy,,chernovtsy,https://myshtetl.org/chernovickaja/banyliv_pidhirnyy.html
Берегомет,beregomet,,chernovtsy,https://myshtetl.org/chernovickaja/beregomet.html
Beregomet,beregomet_en,,chernovtsy,https://myshtetl.org/chernovickaja/beregomet_en.html
Бояны,boyany,,chernovtsy,https://myshtetl.org/chernovickaja/boyany.html
Boyany,boyany_en,,chernovtsy,https://myshtetl.org/chernovickaja/boyany_en.html
Черновцы,chernovcy,,chernovtsy,https://myshtetl.org/chernovickaja/chernovcy.html
Chudey,chudey,,chernovtsy,https://myshtetl.org/chernovickaja/chudey.html
Герца,gerca,,chernovtsy,https://myshtetl.org/chernovickaja/gerca.html
Gerca,gerca_en,,chernovtsy,https://myshtetl.org/chernovickaja/gerca_en.html
Hlyboka,hlyboka,,chernovtsy,https://myshtetl.org/chernovickaja/hlyboka.html
Хотын,hotyn,,chernovtsy,https://myshtetl.org/chernovickaja/hotyn.html
Hotyn,hotyn_en,,chernovtsy,https://myshtetl.org/chernovickaja/hotyn_en.html
Hrozyntsi,hrozyntsi,,chernovtsy,https://myshtetl.org/chernovickaja/hrozyntsi.html
Kelmentsi,kelmentsi,,chernovtsy,https://myshtetl.org/chernovickaja/kelmentsi.html
Кицмань,kicman,,chernovtsy,https://myshtetl.org/chernovickaja/kicman.html
Kitsman,kicman_en,,chernovtsy,https://myshtetl.org/chernovickaja/kicman_en.html
Klishkivtsi,klishkivtsi,,chernovtsy,https://myshtetl.org/chernovickaja/klishkivtsi.html
Kolinkivtsi,kolinkivtsi,,chernovtsy,https://myshtetl.org/chernovickaja/kolinkivtsi.html
Korytne,korytne,,chernovtsy,https://myshtetl.org/chernovickaja/korytne.html
Kostyntsi,kostyntsi,,chernovtsy,https://myshtetl.org/chernovickaja/kostyntsi.html
Krasnoputna,krasnoputna,,chernovtsy,https://myshtetl.org/chernovickaja/krasnoputna.html
Luzhany,luzhany,,chernovtsy,https://myshtetl.org/chernovickaja/luzhany.html
Malyy Kuchuriv,malyy_kuchuriv,,chernovtsy,https://myshtetl.org/chernovickaja/malyy_kuchuriv.html
Miliieve,miliieve,,chernovtsy,https://myshtetl.org/chernovickaja/miliieve.html
Nepolokivtsi,nepolokivtsi,,chernovtsy,https://myshtetl.org/chernovickaja/nepolokivtsi.html
Новоселица,novoselica_ch,,chernovtsy,https://myshtetl.org/chernovickaja/novoselica_ch.html
Novoselytsia,novoselica_ch_en,,chernovtsy,https://myshtetl.org/chernovickaja/novoselica_ch_en.html
Nyzhni Stanivtsi,nyzhni_stanivtsi,,chernovtsy,https://myshtetl.org/chernovickaja/nyzhni_stanivtsi.html
Onut,onut,,chernovtsy,https://myshtetl.org/chernovickaja/onut.html
Putyla,putyla,,chernovtsy,https://myshtetl.org/chernovickaja/putyla.html
Roztoky,roztoky,,chernovtsy,https://myshtetl.org/chernovickaja/roztoky.html
Rzhavyntsi,rzhavyntsi,,chernovtsy,https://myshtetl.org/chernovickaja/rzhavyntsi.html
Садгора,sadgora,,chernovtsy,https://myshtetl.org/chernovickaja/sadgora.html
Sadgora,sadgora_en,,chernovtsy,https://myshtetl.org/chernovickaja/sadgora_en.html
Seliatyn,seliatyn,,chernovtsy,https://myshtetl.org/chernovickaja/seliatyn.html
Sokyryany,sokyryany,,chernovtsy,https://myshtetl.org/chernovickaja/sokyryany.html
Старая Жадова,stara_zhadova,,chernovtsy,https://myshtetl.org/chernovickaja/stara_zhadova.html
Stara Zhadova,stara_zhadova_en,,chernovtsy,https://myshtetl.org/chernovickaja/stara_zhadova_en.html
Сторожинец,storozhinec,,chernovtsy,https://myshtetl.org/chernovickaja/storozhinec.html
Storozhynets,storozhinec_en,,chernovtsy,https://myshtetl.org/chernovickaja/storozhinec_en.html
Вашковцы,vashkovcy,,chernovtsy,https://myshtetl.org/chernovickaja/vashkovcy.html
Vashkivtsi,vashkovcy_en,,chernovtsy,https://myshtetl.org/chernovickaja/vashkovcy_en.html
Velykyy Kuchuriv,velykyy_kuchuriv,,chernovtsy,https://myshtetl.org/chernovickaja/velykyy_kuchuriv.html
Verenchanka,verenchanka,,chernovtsy,https://myshtetl.org/chernovickaja/verenchanka.html
Виженка,vizhenka,,chernovtsy,https://myshtetl.org/chernovickaja/vizhenka.html
Vizhenka,vizhenka_en,,chernovtsy,https://myshtetl.org/chernovickaja/vizhenka_en.html
Вижница,vizhnica,,chernovtsy,https://myshtetl.org/chernovickaja/vizhnica.html
Vyzhnytsia,vizhnica_en,,chernovtsy,https://myshtetl.org/chernovickaja/vizhnica_en.html
Zarozhany,zarozhany,,chernovtsy,https://myshtetl.org/chernovickaja/zarozhany.html
Заставна,zastavna,,chernovtsy,https://myshtetl.org/chernovickaja/zastavna.html
Zastavna,zastavna_en,,chernovtsy,https://myshtetl.org/chernovickaja/zastavna_en.html
Zveniachyn,zveniachyn,,chernovtsy,https://myshtetl.org/chernovickaja/zveniachyn.html
Каменское,dnepodzerzhinsk,,dnepr,https://myshtetl.org/dnepropetrovsk/dnepodzerzhinsk.html
Днепр,dnepr,,dnepr,https://myshtetl.org/dnepropetrovsk/dnepr.html
Ингулец,ingulec,,dnepr,https://myshtetl.org/dnepropetrovsk/ingulec.html
Излучистая,izluchistaya,,dnepr,https://myshtetl.org/dnepropetrovsk/izluchistaya.html
Каменка,kamenka,,dnepr,https://myshtetl.org/dnepropetrovsk/kamenka.html
Китайгород,kitaygorod_dn,,dnepr,https://myshtetl.org/dnepropetrovsk/kitaygorod_dn.html
Новоковно,novokovno,,dnepr,https://myshtetl.org/dnepropetrovsk/novokovno.html
Новомосковск,novomoskovsk,,dnepr,https://myshtetl.org/dnepropetrovsk/novomoskovsk.html
Новоподольск,novopodolsk,,dnepr,https://myshtetl.org/dnepropetrovsk/novopodolsk.html
Нововитебск,novovitebsk,,dnepr,https://myshtetl.org/dnepropetrovsk/novovitebsk.html
Новожитомир,novozhitomir,,dnepr,https://myshtetl.org/dnepropetrovsk/novozhitomir.html
Павлоград,pavlograd,,dnepr,https://myshtetl.org/dnepropetrovsk/pavlograd.html
Рудка,rudka,,dnepr,https://myshtetl.org/dnepropetrovsk/rudka.html
Синельниково,sinelnikovo,,dnepr,https://myshtetl.org/dnepropetrovsk/sinelnikovo.html
Соленое,solenoye,,dnepr,https://myshtetl.org/dnepropetrovsk/solenoye.html
Сталиндорфский национальный район,stalindorf,,dnepr,https://myshtetl.org/dnepropetrovsk/stalindorf.html
Старые Кодаки,stariye_kodaki,,dnepr,https://myshtetl.org/dnepropetrovsk/stariye_kodaki.html
Верхнеднепровск,verkhnedneprovsk,,dnepr,https://myshtetl.org/dnepropetrovsk/verkhnedneprovsk.html
Алчевск,alchevsk,,doneck,https://myshtetl.org/vostok/alchevsk.html
Дружковка,druzhkovka,,doneck,https://myshtetl.org/vostok/druzhkovka.html
Хлебодаровка,khlebodarovka,земледельческая колония №17,doneck,https://myshtetl.org/vostok/khlebodarovka.html
Прелестное,prelestnoye,,doneck,https://myshtetl.org/vostok/prelestnoye.html
Ровнополь,ravnopol,земледельческая колония №16,doneck,https://myshtetl.org/vostok/ravnopol.html
Святогорск,svyatogorsk,,doneck,https://myshtetl.org/vostok/svyatogorsk.html
